"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Bullock County, AL"	"01011"	"2017"	"2017"	Suppressed	10309	Suppressed
	"Bullock County, AL"	"01011"	"2018"	"2018"	Suppressed	10138	Suppressed
	"Bullock County, AL"	"01011"	"2019"	"2019"	Suppressed	10101	Suppressed
	"Bullock County, AL"	"01011"	"2020 "	"2020"	Suppressed	9976	Suppressed
	"Butler County, AL"	"01013"	"2016"	"2016"	Suppressed	19998	Suppressed
	"Butler County, AL"	"01013"	"2017"	"2017"	Suppressed	19825	Suppressed
	"Butler County, AL"	"01013"	"2018"	"2018"	Suppressed	19680	Suppressed
	"Butler County, AL"	"01013"	"2019"	"2019"	Suppressed	19448	Suppressed
	"Butler County, AL"	"01013"	"2020 "	"2020"	Suppressed	19504	Suppressed
	"Calhoun County, AL"	"01015"	"2016"	"2016"	Suppressed	114611	Suppressed
	"Calhoun County, AL"	"01015"	"2017"	"2017"	Suppressed	114728	Suppressed
	"Calhoun County, AL"	"01015"	"2018"	"2018"	Suppressed	114277	Suppressed
	"Calhoun County, AL"	"01015"	"2019"	"2019"	Suppressed	113605	Suppressed
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	Suppressed	113469	Suppressed
	"Chambers County, AL"	"01017"	"2016"	"2016"	Suppressed	33843	Suppressed
	"Chambers County, AL"	"01017"	"2017"	"2017"	Suppressed	33713	Suppressed
	"Chambers County, AL"	"01017"	"2018"	"2018"	Suppressed	33615	Suppressed
	"Chambers County, AL"	"01017"	"2019"	"2019"	Suppressed	33254	Suppressed
	"Chambers County, AL"	"01017"	"2020 "	"2020"	Suppressed	32865	Suppressed
	"Cherokee County, AL"	"01019"	"2016"	"2016"	Suppressed	25725	Suppressed
	"Cherokee County, AL"	"01019"	"2017"	"2017"	Suppressed	25857	Suppressed
	"Cherokee County, AL"	"01019"	"2018"	"2018"	Suppressed	26032	Suppressed
	"Cherokee County, AL"	"01019"	"2019"	"2019"	Suppressed	26196	Suppressed
	"Cherokee County, AL"	"01019"	"2020 "	"2020"	Suppressed	26294	Suppressed
	"Chilton County, AL"	"01021"	"2016"	"2016"	Suppressed	43941	Suppressed
	"Chilton County, AL"	"01021"	"2017"	"2017"	Suppressed	44067	Suppressed
	"Chilton County, AL"	"01021"	"2018"	"2018"	Suppressed	44153	Suppressed
	"Chilton County, AL"	"01021"	"2019"	"2019"	Suppressed	44428	Suppressed
	"Chilton County, AL"	"01021"	"2020 "	"2020"	Suppressed	44397	Suppressed
	"Choctaw County, AL"	"01023"	"2016"	"2016"	Suppressed	12993	Suppressed
	"Choctaw County, AL"	"01023"	"2017"	"2017"	Suppressed	12945	Suppressed
	"Choctaw County, AL"	"01023"	"2018"	"2018"	Suppressed	12841	Suppressed
	"Choctaw County, AL"	"01023"	"2019"	"2019"	Suppressed	12589	Suppressed
	"Choctaw County, AL"	"01023"	"2020 "	"2020"	Suppressed	12418	Suppressed
	"Clarke County, AL"	"01025"	"2016"	"2016"	Suppressed	24392	Suppressed
	"Clarke County, AL"	"01025"	"2017"	"2017"	Suppressed	24083	Suppressed
	"Clarke County, AL"	"01025"	"2018"	"2018"	Suppressed	23920	Suppressed
	"Clarke County, AL"	"01025"	"2019"	"2019"	Suppressed	23622	Suppressed
	"Clarke County, AL"	"01025"	"2020 "	"2020"	Suppressed	23291	Suppressed
	"Clay County, AL"	"01027"	"2016"	"2016"	Suppressed	13492	Suppressed
	"Clay County, AL"	"01027"	"2017"	"2017"	Suppressed	13367	Suppressed
	"Clay County, AL"	"01027"	"2018"	"2018"	Suppressed	13275	Suppressed
	"Clay County, AL"	"01027"	"2019"	"2019"	Suppressed	13235	Suppressed
	"Clay County, AL"	"01027"	"2020 "	"2020"	Suppressed	13112	Suppressed
	"Cleburne County, AL"	"01029"	"2016"	"2016"	Suppressed	14924	Suppressed
	"Cleburne County, AL"	"01029"	"2017"	"2017"	Suppressed	14900	Suppressed
	"Cleburne County, AL"	"01029"	"2018"	"2018"	Suppressed	14987	Suppressed
	"Cleburne County, AL"	"01029"	"2019"	"2019"	Suppressed	14910	Suppressed
	"Cleburne County, AL"	"01029"	"2020 "	"2020"	Suppressed	14967	Suppressed
	"Coffee County, AL"	"01031"	"2016"	"2016"	Suppressed	51226	Suppressed
	"Coffee County, AL"	"01031"	"2017"	"2017"	Suppressed	51874	Suppressed
	"Coffee County, AL"	"01031"	"2018"	"2018"	Suppressed	51909	Suppressed
	"Coffee County, AL"	"01031"	"2019"	"2019"	Suppressed	52342	Suppressed
	"Coffee County, AL"	"01031"	"2020 "	"2020"	Suppressed	53230	Suppressed
	"Colbert County, AL"	"01033"	"2016"	"2016"	Suppressed	54216	Suppressed
	"Colbert County, AL"	"01033"	"2017"	"2017"	Suppressed	54500	Suppressed
	"Colbert County, AL"	"01033"	"2018"	"2018"	Suppressed	54762	Suppressed
	"Colbert County, AL"	"01033"	"2019"	"2019"	Suppressed	55241	Suppressed
	"Colbert County, AL"	"01033"	"2020 "	"2020"	Suppressed	55411	Suppressed
	"Conecuh County, AL"	"01035"	"2016"	"2016"	Suppressed	12395	Suppressed
	"Conecuh County, AL"	"01035"	"2017"	"2017"	Suppressed	12469	Suppressed
	"Conecuh County, AL"	"01035"	"2018"	"2018"	Suppressed	12277	Suppressed
	"Conecuh County, AL"	"01035"	"2019"	"2019"	Suppressed	12067	Suppressed
	"Conecuh County, AL"	"01035"	"2020 "	"2020"	Suppressed	11851	Suppressed
	"Coosa County, AL"	"01037"	"2016"	"2016"	Suppressed	10581	Suppressed
	"Coosa County, AL"	"01037"	"2017"	"2017"	Suppressed	10754	Suppressed
	"Coosa County, AL"	"01037"	"2018"	"2018"	Suppressed	10715	Suppressed
	"Coosa County, AL"	"01037"	"2019"	"2019"	Suppressed	10663	Suppressed
	"Coosa County, AL"	"01037"	"2020 "	"2020"	Suppressed	10650	Suppressed
	"Covington County, AL"	"01039"	"2016"	"2016"	Suppressed	37458	Suppressed
	"Covington County, AL"	"01039"	"2017"	"2017"	Suppressed	37092	Suppressed
	"Covington County, AL"	"01039"	"2018"	"2018"	Suppressed	36986	Suppressed
	"Covington County, AL"	"01039"	"2019"	"2019"	Suppressed	37049	Suppressed
	"Covington County, AL"	"01039"	"2020 "	"2020"	Suppressed	36930	Suppressed
	"Crenshaw County, AL"	"01041"	"2016"	"2016"	Suppressed	13913	Suppressed
	"Crenshaw County, AL"	"01041"	"2017"	"2017"	Suppressed	13871	Suppressed
	"Crenshaw County, AL"	"01041"	"2018"	"2018"	Suppressed	13824	Suppressed
	"Crenshaw County, AL"	"01041"	"2019"	"2019"	Suppressed	13772	Suppressed
	"Crenshaw County, AL"	"01041"	"2020 "	"2020"	Suppressed	13681	Suppressed
	"Cullman County, AL"	"01043"	"2016"	"2016"	Suppressed	82471	Suppressed
	"Cullman County, AL"	"01043"	"2017"	"2017"	Suppressed	82755	Suppressed
	"Cullman County, AL"	"01043"	"2018"	"2018"	Suppressed	83442	Suppressed
	"Cullman County, AL"	"01043"	"2019"	"2019"	Suppressed	83768	Suppressed
	"Cullman County, AL"	"01043"	"2020 "	"2020"	Suppressed	84515	Suppressed
	"Dale County, AL"	"01045"	"2016"	"2016"	Suppressed	49226	Suppressed
	"Dale County, AL"	"01045"	"2017"	"2017"	Suppressed	49226	Suppressed
	"Dale County, AL"	"01045"	"2018"	"2018"	Suppressed	48956	Suppressed
	"Dale County, AL"	"01045"	"2019"	"2019"	Suppressed	49172	Suppressed
	"Dale County, AL"	"01045"	"2020 "	"2020"	Suppressed	48959	Suppressed
	"Dallas County, AL"	"01047"	"2016"	"2016"	Suppressed	40008	Suppressed
	"Dallas County, AL"	"01047"	"2017"	"2017"	Suppressed	39215	Suppressed
	"Dallas County, AL"	"01047"	"2018"	"2018"	Suppressed	38310	Suppressed
	"Dallas County, AL"	"01047"	"2019"	"2019"	Suppressed	37196	Suppressed
